ShortCode	Type	Title	Author	Journal	Organization	Publisher	Address	Year	Volume	Number	URL	Date Accessed	Pages	Book Chapter Title	Book editors	
nyt15	article	Did a Human or a Computer Write This?		The New York Times				7 March 2015			http://www.nytimes.com/interactive/2015/03/08/opinion/sunday/algorithm-human-quiz.html?smid=pl-share&_r=0					
oliveira15	bookchapter	Computational Creativity Research: Towards Creative Machines	Amílcar Cardoso and Hugo Oliveira			Atlantis Press	Amsterdam	2015	7				243-266	Poetry Generation With PoeTryMe	"Tarek Besold, Marco Schorlemmer and Alan Smaill"	
ombelet15	online	Supervising automated journalists in the newsroom: liability for algorithmically produced news stories	"Pieter-Jan Ombelet, Aleksandra Kuczerawy, and Peggy Valcke"		"Dubrovnik Media Days: Artificial Intelligence, Robots and the Media, University of Dubrovnik"			2015								
oremus15	online	Why Robot?	Will Oremus		Slate			2015			http://www.slate.com/articles/technology/future_tense/2015/02/automated_insights_ap_earnings_reports_robot_journalists_a_misnomer.html					
paris11	book	The Filter Bubble: What the Internet Is Hiding From You	Eli Pariser			Penguin Press	New York	2011								
pluc14	article	How an Algorithm Helped the LAT Scoop Monday’s Quake	Joanna Plucinska	Columbia Journalism Review				18 March 2014			http://www.cjr.org/united_states_project/how_an_algorithm_helped_the_lat_scoop_mondays_quake.php 					
reiter2000	book	Building Natural Language Generation Systems	Ehud Reiter and Robert Dale		Cambridge University Press			2000								
schlegel15	report	"Hype Cycle for Business Intelligence and Analytics, 2015"	Kurt Schlegel		Gartner			2015								
sie14	online	Roboterjournalismus im Jahre 2020---Acht Thesen	Alexander Siebert		The Huffington Post			8 August 2014			http://www.huffingtonpost.de/alexander-siebert/roboterjournalismus-im-jahre-2020---acht-thesen_b_5655061.html					
ulanoff14	online	Need to Write 5 Million Stories a Week? Robot Reporters to the Rescue	Lance Ulanoff		Mashable			1 July 2014			http://mashable.com/2014/07/01/robot-reporters-add-data-to-the-five-ws/#jlMMJqbFtSq4					
vs15	online	An NPR Reporter Raced a Machine to Write a News Story. Who Won?	Stacey Vanek Smith		NPR			29 May 2015			http://www.npr.org/sections/money/2015/05/20/406484294/an-npr-reporter-raced-a-machine-to-write-a-news-story-who-won					
wan15	online	Trends in Newsrooms 2015			World Association of Newspapers and News Publishers			2015			http://www.wan-ifra.org/reports/2015/06/02/trends-in-newsrooms-2015					
